"measure","location","sex","age","cause","metric","year","val"
"Deaths","Saudi Arabia","Male","95+ years","Ischemic heart disease","Rate",2009,8479.61480706136
"Deaths","Saudi Arabia","Female","95+ years","Ischemic heart disease","Rate",2009,8907.28468996576
"Deaths","Saudi Arabia","Male","<5 years","Ischemic stroke","Number",2009,0.692444673319222
"Deaths","Saudi Arabia","Female","<5 years","Ischemic stroke","Number",2009,0.401884063080769
"Deaths","Saudi Arabia","Male","<5 years","Ischemic stroke","Rate",2009,0.0556354483789452
"Deaths","Saudi Arabia","Female","<5 years","Ischemic stroke","Rate",2009,0.0344224630564535
"Deaths","Saudi Arabia","Male","5-9 years","Ischemic stroke","Number",2009,0.59128642910845
"Deaths","Saudi Arabia","Female","5-9 years","Ischemic stroke","Number",2009,0.411670104361557
"Deaths","Saudi Arabia","Male","5-9 years","Ischemic stroke","Rate",2009,0.0459468625310306
"Deaths","Saudi Arabia","Female","5-9 years","Ischemic stroke","Rate",2009,0.034834835254372
"Deaths","Saudi Arabia","Male","10-14 years","Ischemic stroke","Number",2009,1.11773493275023
"Deaths","Saudi Arabia","Female","10-14 years","Ischemic stroke","Number",2009,0.941578614312425
"Deaths","Saudi Arabia","Male","10-14 years","Ischemic stroke","Rate",2009,0.0825830167034755
"Deaths","Saudi Arabia","Female","10-14 years","Ischemic stroke","Rate",2009,0.0753828037114849
"Deaths","Saudi Arabia","Male","15-19 years","Ischemic stroke","Number",2009,4.27388387002701
"Deaths","Saudi Arabia","Female","15-19 years","Ischemic stroke","Number",2009,7.98268175431882
"Deaths","Saudi Arabia","Male","15-19 years","Ischemic stroke","Rate",2009,0.296005274664901
"Deaths","Saudi Arabia","Female","15-19 years","Ischemic stroke","Rate",2009,0.630552397513421
"Deaths","Saudi Arabia","Male","20-24 years","Ischemic stroke","Number",2009,6.55700412659447
"Deaths","Saudi Arabia","Female","20-24 years","Ischemic stroke","Number",2009,12.9498239136256
"Deaths","Saudi Arabia","Male","20-24 years","Ischemic stroke","Rate",2009,0.412715127328063
"Deaths","Saudi Arabia","Female","20-24 years","Ischemic stroke","Rate",2009,0.98687991843008
"Deaths","Saudi Arabia","Male","25-29 years","Ischemic stroke","Number",2009,12.2719605490272
"Deaths","Saudi Arabia","Female","25-29 years","Ischemic stroke","Number",2009,16.6204285337878
"Deaths","Saudi Arabia","Male","25-29 years","Ischemic stroke","Rate",2009,0.755752029735862
"Deaths","Saudi Arabia","Female","25-29 years","Ischemic stroke","Rate",2009,1.36295925632591
"Deaths","Saudi Arabia","Male","30-34 years","Ischemic stroke","Number",2009,23.9545622115326
"Deaths","Saudi Arabia","Female","30-34 years","Ischemic stroke","Number",2009,26.8676273401291
"Deaths","Saudi Arabia","Male","30-34 years","Ischemic stroke","Rate",2009,1.4100693043951
"Deaths","Saudi Arabia","Female","30-34 years","Ischemic stroke","Rate",2009,2.42760588598889
"Deaths","Saudi Arabia","Male","35-39 years","Ischemic stroke","Number",2009,47.3322221666793
"Deaths","Saudi Arabia","Female","35-39 years","Ischemic stroke","Number",2009,50.7552460627306
"Deaths","Saudi Arabia","Male","35-39 years","Ischemic stroke","Rate",2009,3.18466056296693
"Deaths","Saudi Arabia","Female","35-39 years","Ischemic stroke","Rate",2009,5.52037607134981
"Deaths","Saudi Arabia","Male","40-44 years","Ischemic stroke","Number",2009,78.8081449015086
"Deaths","Saudi Arabia","Female","40-44 years","Ischemic stroke","Number",2009,77.9578568175774
"Deaths","Saudi Arabia","Male","40-44 years","Ischemic stroke","Rate",2009,7.02999641864393
"Deaths","Saudi Arabia","Female","40-44 years","Ischemic stroke","Rate",2009,11.2919146855808
"Deaths","Saudi Arabia","Male","45-49 years","Ischemic stroke","Number",2009,148.915847682953
"Deaths","Saudi Arabia","Female","45-49 years","Ischemic stroke","Number",2009,83.5398715662818
"Deaths","Saudi Arabia","Male","45-49 years","Ischemic stroke","Rate",2009,17.5235969661552
"Deaths","Saudi Arabia","Female","45-49 years","Ischemic stroke","Rate",2009,16.1366032457604
"Deaths","Saudi Arabia","Male","50-54 years","Ischemic stroke","Number",2009,208.912743686475
"Deaths","Saudi Arabia","Female","50-54 years","Ischemic stroke","Number",2009,116.365828396635
"Deaths","Saudi Arabia","Male","50-54 years","Ischemic stroke","Rate",2009,35.7426887371894
"Deaths","Saudi Arabia","Female","50-54 years","Ischemic stroke","Rate",2009,32.0466942380158
"Deaths","Saudi Arabia","Male","55-59 years","Ischemic stroke","Number",2009,253.445272511758
"Deaths","Saudi Arabia","Female","55-59 years","Ischemic stroke","Number",2009,133.307931254391
"Deaths","Saudi Arabia","Male","55-59 years","Ischemic stroke","Rate",2009,63.7245879900413
"Deaths","Saudi Arabia","Female","55-59 years","Ischemic stroke","Rate",2009,52.9059118232031
"Deaths","Saudi Arabia","Male","60-64 years","Ischemic stroke","Number",2009,358.452533885054
"Deaths","Saudi Arabia","Female","60-64 years","Ischemic stroke","Number",2009,234.392973430299
"Deaths","Saudi Arabia","Male","60-64 years","Ischemic stroke","Rate",2009,142.801719799553
"Deaths","Saudi Arabia","Female","60-64 years","Ischemic stroke","Rate",2009,137.132505265022
"Deaths","Saudi Arabia","Male","65-69 years","Ischemic stroke","Number",2009,407.053056590421
"Deaths","Saudi Arabia","Female","65-69 years","Ischemic stroke","Number",2009,254.514127568324
"Deaths","Saudi Arabia","Male","65-69 years","Ischemic stroke","Rate",2009,243.296135608135
"Deaths","Saudi Arabia","Female","65-69 years","Ischemic stroke","Rate",2009,219.072658478553
"Deaths","Saudi Arabia","Male","70-74 years","Ischemic stroke","Number",2009,428.261039417453
"Deaths","Saudi Arabia","Female","70-74 years","Ischemic stroke","Number",2009,312.525824131239
"Deaths","Saudi Arabia","Male","70-74 years","Ischemic stroke","Rate",2009,448.786831231496
"Deaths","Saudi Arabia","Female","70-74 years","Ischemic stroke","Rate",2009,430.847786923867
"Deaths","Saudi Arabia","Male","75-79 years","Ischemic stroke","Number",2009,364.396543531858
"Deaths","Saudi Arabia","Female","75-79 years","Ischemic stroke","Number",2009,329.769666703837
"Deaths","Saudi Arabia","Male","75-79 years","Ischemic stroke","Rate",2009,784.809517515796
"Deaths","Saudi Arabia","Female","75-79 years","Ischemic stroke","Rate",2009,772.418296282159
"Deaths","Saudi Arabia","Male","80-84","Ischemic stroke","Number",2009,481.008377344057
"Deaths","Saudi Arabia","Female","80-84","Ischemic stroke","Number",2009,492.579599354784
"Deaths","Saudi Arabia","Male","80-84","Ischemic stroke","Rate",2009,1440.28052743541
"Deaths","Saudi Arabia","Female","80-84","Ischemic stroke","Rate",2009,1473.1001710617
"Deaths","Saudi Arabia","Male","85-89","Ischemic stroke","Number",2009,299.378419211823
"Deaths","Saudi Arabia","Female","85-89","Ischemic stroke","Number",2009,299.888774283014
"Deaths","Saudi Arabia","Male","85-89","Ischemic stroke","Rate",2009,2196.15248268622
"Deaths","Saudi Arabia","Female","85-89","Ischemic stroke","Rate",2009,2414.09597527436
"Deaths","Saudi Arabia","Male","90-94","Ischemic stroke","Number",2009,143.497619049149
"Deaths","Saudi Arabia","Female","90-94","Ischemic stroke","Number",2009,157.888721614695
"Deaths","Saudi Arabia","Male","90-94","Ischemic stroke","Rate",2009,3220.83062397053
"Deaths","Saudi Arabia","Female","90-94","Ischemic stroke","Rate",2009,3886.68107103831
"Deaths","Saudi Arabia","Male","<5 years","All causes","Number",2010,3002.04376588108
"Deaths","Saudi Arabia","Female","<5 years","All causes","Number",2010,2599.99241827914
"Deaths","Saudi Arabia","Male","<5 years","All causes","Rate",2010,241.348191426371
"Deaths","Saudi Arabia","Female","<5 years","All causes","Rate",2010,222.808449373544
"Deaths","Saudi Arabia","Male","5-9 years","All causes","Number",2010,323.251600698324
"Deaths","Saudi Arabia","Female","5-9 years","All causes","Number",2010,228.993991477149
"Deaths","Saudi Arabia","Male","5-9 years","All causes","Rate",2010,25.3333489546567
"Deaths","Saudi Arabia","Female","5-9 years","All causes","Rate",2010,19.7044660200802
"Deaths","Saudi Arabia","Male","10-14 years","All causes","Number",2010,415.861614977992
"Deaths","Saudi Arabia","Female","10-14 years","All causes","Number",2010,280.738440130592
"Deaths","Saudi Arabia","Male","10-14 years","All causes","Rate",2010,30.6315878547167
"Deaths","Saudi Arabia","Female","10-14 years","All causes","Rate",2010,22.761214828247
"Deaths","Saudi Arabia","Male","15-19 years","All causes","Number",2010,1420.78608796019
"Deaths","Saudi Arabia","Female","15-19 years","All causes","Number",2010,659.651666402624
"Deaths","Saudi Arabia","Male","15-19 years","All causes","Rate",2010,96.2429440271208
"Deaths","Saudi Arabia","Female","15-19 years","All causes","Rate",2010,51.6213130148206
"Deaths","Saudi Arabia","Male","20-24 years","All causes","Number",2010,2633.69654295516
"Deaths","Saudi Arabia","Female","20-24 years","All causes","Number",2010,1051.98040902294
"Deaths","Saudi Arabia","Male","20-24 years","All causes","Rate",2010,158.966972994659
"Deaths","Saudi Arabia","Female","20-24 years","All causes","Rate",2010,77.5089075621344
"Deaths","Saudi Arabia","Male","25-29 years","All causes","Number",2010,3045.9591374177
"Deaths","Saudi Arabia","Female","25-29 years","All causes","Number",2010,1306.82565810672
"Deaths","Saudi Arabia","Male","25-29 years","All causes","Rate",2010,178.013838579119
"Deaths","Saudi Arabia","Female","25-29 years","All causes","Rate",2010,101.536577100744
"Deaths","Saudi Arabia","Male","30-34 years","All causes","Number",2010,3903.88715955332
"Deaths","Saudi Arabia","Female","30-34 years","All causes","Number",2010,1627.1805467908
"Deaths","Saudi Arabia","Male","30-34 years","All causes","Rate",2010,214.038943765949
"Deaths","Saudi Arabia","Female","30-34 years","All causes","Rate",2010,138.514190617677
"Deaths","Saudi Arabia","Male","35-39 years","All causes","Number",2010,4454.52813292774
"Deaths","Saudi Arabia","Female","35-39 years","All causes","Number",2010,2029.97343047839
"Deaths","Saudi Arabia","Male","35-39 years","All causes","Rate",2010,277.057701365754
"Deaths","Saudi Arabia","Female","35-39 years","All causes","Rate",2010,205.277942508059
"Deaths","Saudi Arabia","Male","40-44 years","All causes","Number",2010,4817.33340958432
"Deaths","Saudi Arabia","Female","40-44 years","All causes","Number",2010,2313.0986473218
"Deaths","Saudi Arabia","Male","40-44 years","All causes","Rate",2010,405.096070201108
"Deaths","Saudi Arabia","Female","40-44 years","All causes","Rate",2010,316.572259163223
"Deaths","Saudi Arabia","Male","45-49 years","All causes","Number",2010,5604.83160257363
"Deaths","Saudi Arabia","Female","45-49 years","All causes","Number",2010,2706.62726145695
"Deaths","Saudi Arabia","Male","45-49 years","All causes","Rate",2010,625.833461669332
"Deaths","Saudi Arabia","Female","45-49 years","All causes","Rate",2010,491.676724148666
"Deaths","Saudi Arabia","Male","50-54 years","All causes","Number",2010,5756.56281138312
"Deaths","Saudi Arabia","Female","50-54 years","All causes","Number",2010,2847.82604568086
"Deaths","Saudi Arabia","Male","50-54 years","All causes","Rate",2010,967.5116621496
"Deaths","Saudi Arabia","Female","50-54 years","All causes","Rate",2010,751.614368063854
"Deaths","Saudi Arabia","Male","55-59 years","All causes","Number",2010,6105.25862296676
"Deaths","Saudi Arabia","Female","55-59 years","All causes","Number",2010,3028.65966478502
"Deaths","Saudi Arabia","Male","55-59 years","All causes","Rate",2010,1485.38672009383
"Deaths","Saudi Arabia","Female","55-59 years","All causes","Rate",2010,1135.2160175935
"Deaths","Saudi Arabia","Male","60-64 years","All causes","Number",2010,6101.91500352158
"Deaths","Saudi Arabia","Female","60-64 years","All causes","Number",2010,2970.51676243111
"Deaths","Saudi Arabia","Male","60-64 years","All causes","Rate",2010,2229.92331226866
"Deaths","Saudi Arabia","Female","60-64 years","All causes","Rate",2010,1677.11674527806
"Deaths","Saudi Arabia","Male","65-69 years","All causes","Number",2010,5812.63822683909
"Deaths","Saudi Arabia","Female","65-69 years","All causes","Number",2010,2900.07246315613
"Deaths","Saudi Arabia","Male","65-69 years","All causes","Rate",2010,3293.80207972482
"Deaths","Saudi Arabia","Female","65-69 years","All causes","Rate",2010,2465.90091214287
"Deaths","Saudi Arabia","Male","70-74 years","All causes","Number",2010,4936.11291791094
"Deaths","Saudi Arabia","Female","70-74 years","All causes","Number",2010,2722.07499016615
"Deaths","Saudi Arabia","Male","70-74 years","All causes","Rate",2010,4933.63113733647
"Deaths","Saudi Arabia","Female","70-74 years","All causes","Rate",2010,3804.50878695232
"Deaths","Saudi Arabia","Male","75-79 years","All causes","Number",2010,3264.01415986983
"Deaths","Saudi Arabia","Female","75-79 years","All causes","Number",2010,2318.32798364832
"Deaths","Saudi Arabia","Male","75-79 years","All causes","Rate",2010,7426.42817640524
"Deaths","Saudi Arabia","Female","75-79 years","All causes","Rate",2010,5946.08959912624
"Deaths","Saudi Arabia","Male","80-84","All causes","Number",2010,3744.40923469247
"Deaths","Saudi Arabia","Female","80-84","All causes","Number",2010,3238.45092984017
"Deaths","Saudi Arabia","Male","80-84","All causes","Rate",2010,11110.2353481919
"Deaths","Saudi Arabia","Female","80-84","All causes","Rate",2010,9412.68420639844
"Deaths","Saudi Arabia","Male","85-89","All causes","Number",2010,2352.70657936299
"Deaths","Saudi Arabia","Female","85-89","All causes","Number",2010,2043.79513430303
"Deaths","Saudi Arabia","Male","85-89","All causes","Rate",2010,16583.2590278145
"Deaths","Saudi Arabia","Female","85-89","All causes","Rate",2010,15287.132697017
"Deaths","Saudi Arabia","Male","90-94","All causes","Number",2010,1083.7445040392
"Deaths","Saudi Arabia","Female","90-94","All causes","Number",2010,947.602330598684
"Deaths","Saudi Arabia","Male","90-94","All causes","Rate",2010,23757.5038746373
"Deaths","Saudi Arabia","Female","90-94","All causes","Rate",2010,22562.7012688831
"Deaths","Saudi Arabia","Male","95+ years","All causes","Number",2010,345.941938828288
"Deaths","Saudi Arabia","Female","95+ years","All causes","Number",2010,339.203265392447
"Deaths","Saudi Arabia","Male","95+ years","All causes","Rate",2010,34416.7371317008
"Deaths","Saudi Arabia","Female","95+ years","All causes","Rate",2010,33682.3257607037
"Deaths","Saudi Arabia","Male","15-19 years","Diabetes mellitus type 2","Number",2009,1.8115691286673
"Deaths","Saudi Arabia","Female","15-19 years","Diabetes mellitus type 2","Number",2009,3.38072210050836
"Deaths","Saudi Arabia","Male","15-19 years","Diabetes mellitus type 2","Rate",2009,0.125467615361817
"Deaths","Saudi Arabia","Female","15-19 years","Diabetes mellitus type 2","Rate",2009,0.267043393612534
"Deaths","Saudi Arabia","Male","20-24 years","Diabetes mellitus type 2","Number",2009,2.54619276086063
